seq	kingdom	phylum	class	order	family	genus	species
seq_6642	1.00	0.89	0.89	0.76	0.68	0.68	0.20
seq_6643	1.00	0.71	0.71	0.21	0.14	0.05	0.05
seq_6647	1.00	0.75	0.74	0.57	0.57	0.57	0.57
seq_6644	1.00	1.00	1.00	1.00	0.98	0.98	0.98
seq_6646	1.00	1.00	1.00	1.00	1.00	0.53	0.53
seq_6648	1.00	0.75	0.75	0.08	0.08	0.05	0.05
seq_6652	1.00	1.00	0.88	0.57	0.57	0.57	0.57
seq_6649	1.00	0.79	0.79	0.72	0.62	0.19	0.19
seq_6653	1.00	0.61	0.52	0.52	0.52	0.52	0.52
seq_6654	1.00	0.52	0.52	0.20	0.11	0.06	0.05
seq_6655	1.00	0.98	0.88	0.78	0.26	0.07	0.02
seq_6657	1.00	0.96	0.96	0.66	0.57	0.23	0.22
seq_6658	1.00	0.56	0.52	0.11	0.04	0.04	0.02
seq_6661	1.00	1.00	0.30	0.18	0.18	0.16	0.16
seq_6659	1.00	0.98	0.98	0.98	0.96	0.96	0.25
seq_6663	1.00	0.05	0.05	0.05	0.05	0.02	0.02
seq_6665	1.00	0.86	0.13	0.06	0.04	0.04	0.02
seq_6666	1.00	0.97	0.20	0.06	0.02	0.02	0.02
seq_6669	1.00	0.96	0.18	0.04	0.04	0.04	0.03
seq_6672	1.00	0.98	0.47	0.16	0.16	0.16	0.16
seq_6674	1.00	0.95	0.37	0.11	0.09	0.09	0.04
seq_6675	1.00	0.66	0.14	0.13	0.13	0.08	0.08
seq_6676	1.00	0.12	0.11	0.09	0.02	0.02	0.02
seq_6673	1.00	0.76	0.76	0.16	0.16	0.05	0.05
seq_6678	1.00	0.93	0.07	0.02	0.02	0.02	0.02
seq_6677	1.00	0.94	0.91	0.44	0.44	0.09	0.09
seq_6679	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_6680	1.00	0.91	0.49	0.45	0.11	0.06	0.06
seq_6681	1.00	0.94	0.59	0.56	0.09	0.07	0.05
seq_6682	1.00	0.96	0.44	0.32	0.29	0.23	0.23
seq_6684	0	NA	NA	NA	NA	NA	NA
seq_6686	1.00	0.97	0.28	0.08	0.04	0.04	0.04
seq_6683	1.00	0.87	0.87	0.21	0.16	0.07	0.07
seq_6688	0	NA	NA	NA	NA	NA	NA
seq_6687	0	NA	NA	NA	NA	NA	NA
seq_6685	1.00	0.94	0.35	0.12	0.02	0.01	0.01
seq_6690	0	NA	NA	NA	NA	NA	NA
seq_6689	1.00	0.64	0.57	0.04	0.01	0.01	0.01
